Date : 2023-06-24 21:44:31
Directory : c:\Users\Magd\Documents\Flutter Projects\ebuy\lib
Total : 217 files,  13740 codes, 101 comments, 964 blanks, all 14805 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        217 |     13,740 |        101 |        964 |     14,805 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |        217 |     13,740 |        101 |        964 |     14,805 |
| . (Files)                                                                                                                              |          3 |        224 |          0 |         11 |        235 |
| Controller                                                                                                                             |         17 |      3,233 |         21 |        258 |      3,512 |
| Controller\Detailes                                                                                                                    |          1 |        290 |          0 |         29 |        319 |
| Controller\Home                                                                                                                        |         12 |      2,350 |          5 |        167 |      2,522 |
| Controller\Home (Files)                                                                                                                |          7 |      1,426 |          3 |         98 |      1,527 |
| Controller\Home\SettingsControllers                                                                                                    |          5 |        924 |          2 |         69 |        995 |
| Controller\authControllers                                                                                                             |          2 |        492 |         16 |         50 |        558 |
| Controller\onBoardingController                                                                                                        |          1 |         46 |          0 |          7 |         53 |
| Controller\products                                                                                                                    |          1 |         55 |          0 |          5 |         60 |
| core                                                                                                                                   |         31 |      1,140 |         44 |        101 |      1,285 |
| core\class                                                                                                                             |          4 |        247 |          0 |         15 |        262 |
| core\constant                                                                                                                          |          6 |        334 |         42 |         32 |        408 |
| core\function                                                                                                                          |         16 |        399 |          0 |         39 |        438 |
| core\function (Files)                                                                                                                  |          6 |        108 |          0 |         15 |        123 |
| core\function\UiFunctions                                                                                                              |         10 |        291 |          0 |         24 |        315 |
| core\function\UiFunctions (Files)                                                                                                      |          6 |        134 |          0 |         15 |        149 |
| core\function\UiFunctions\Dialogs                                                                                                      |          4 |        157 |          0 |          9 |        166 |
| core\localization                                                                                                                      |          2 |         39 |          2 |          6 |         47 |
| core\middleware                                                                                                                        |          1 |         23 |          0 |          2 |         25 |
| core\services                                                                                                                          |          1 |         22 |          0 |          4 |         26 |
| core\theme                                                                                                                             |          1 |         76 |          0 |          3 |         79 |
| data                                                                                                                                   |         44 |      1,560 |          7 |        128 |      1,695 |
| data\dataSource                                                                                                                        |         21 |        418 |          7 |         70 |        495 |
| data\dataSource\Static                                                                                                                 |          3 |         92 |          7 |          9 |        108 |
| data\dataSource\remote                                                                                                                 |         18 |        326 |          0 |         61 |        387 |
| data\dataSource\remote\Favourite                                                                                                       |          3 |         34 |          0 |          6 |         40 |
| data\dataSource\remote\auth                                                                                                            |          7 |         76 |          0 |         21 |         97 |
| data\dataSource\remote\cart                                                                                                            |          3 |         80 |          0 |         13 |         93 |
| data\dataSource\remote\home                                                                                                            |          3 |         72 |          0 |         11 |         83 |
| data\dataSource\remote\settings                                                                                                        |          2 |         64 |          0 |         10 |         74 |
| data\model                                                                                                                             |         23 |      1,142 |          0 |         58 |      1,200 |
| data\model\CartModels                                                                                                                  |          4 |        240 |          0 |          8 |        248 |
| data\model\HomePageModels                                                                                                              |          7 |        309 |          0 |         20 |        329 |
| data\model\OnBoardingModel                                                                                                             |          1 |          7 |          0 |          1 |          8 |
| data\model\ProductModels                                                                                                               |          4 |        287 |          0 |          8 |        295 |
| data\model\SettingsModels                                                                                                              |          3 |        111 |          0 |         12 |        123 |
| data\model\authModels                                                                                                                  |          3 |         27 |          0 |          5 |         32 |
| data\model\favouriteModel                                                                                                              |          1 |        161 |          0 |          4 |        165 |
| view                                                                                                                                   |        122 |      7,583 |         29 |        466 |      8,078 |
| view\Widgets                                                                                                                           |         83 |      4,769 |         26 |        323 |      5,118 |
| view\Widgets\CustomPackages                                                                                                            |          1 |         92 |         26 |         28 |        146 |
| view\Widgets\Detailes                                                                                                                  |         11 |        786 |          0 |         46 |        832 |
| view\Widgets\Home                                                                                                                      |         45 |      2,796 |          0 |        154 |      2,950 |
| view\Widgets\Home\Cart                                                                                                                 |         14 |      1,006 |          0 |         47 |      1,053 |
| view\Widgets\Home\Cart (Files)                                                                                                         |          3 |        244 |          0 |         10 |        254 |
| view\Widgets\Home\Cart\checkOut                                                                                                        |         11 |        762 |          0 |         37 |        799 |
| view\Widgets\Home\Cart\checkOut (Files)                                                                                                |          1 |         78 |          0 |          3 |         81 |
| view\Widgets\Home\Cart\checkOut\Information                                                                                            |          3 |        278 |          0 |         10 |        288 |
| view\Widgets\Home\Cart\checkOut\payment                                                                                                |          5 |        268 |          0 |         16 |        284 |
| view\Widgets\Home\Cart\checkOut\shipping                                                                                               |          2 |        138 |          0 |          8 |        146 |
| view\Widgets\Home\Favourite                                                                                                            |          2 |        143 |          0 |          7 |        150 |
| view\Widgets\Home\HomePage                                                                                                             |         18 |        981 |          0 |         69 |      1,050 |
| view\Widgets\Home\HomePage (Files)                                                                                                     |         10 |        642 |          0 |         39 |        681 |
| view\Widgets\Home\HomePage\NewTrend                                                                                                    |          7 |        305 |          0 |         26 |        331 |
| view\Widgets\Home\HomePage\NewTrend (Files)                                                                                            |          3 |        166 |          0 |         11 |        177 |
